Date,Prix Actuel,Prix Predit,Product Code
2020-10-14,34.0,34.00000000000001,1534312218
2018-12-08,7.99,7.99,1534401067
2022-12-17,7.99,7.99,1534414339
2019-10-13,7.99,10.49,1534426388
2021-12-09,5.99,5.989999999999999,1534451757
2020-11-23,6.97,6.969999999999999,1541146921
2020-12-18,6.97,6.969999999999999,1541146921
2021-04-17,6.97,6.969999999999999,1541146921
2022-12-15,6.99,6.989999999999999,1541146921
2019-06-22,14.75,14.75,1541325842
2021-11-29,5.99,5.99,1546595902
2021-12-02,5.99,5.99,1546595902
2021-12-08,5.99,5.99,1546595902
2022-01-12,5.99,5.99,1546595902
2022-09-11,12.88,12.88,1559930063
2021-10-03,14.39,14.39,1559930217
2022-09-21,10.99,10.989999999999998,1565238427
2020-05-07,3.95,3.950000000000001,1568582021
2020-05-21,7.37,7.37,1568582021
2021-02-14,7.48,7.48,1568582021
2022-03-04,1.48,1.4800000000000018,1568582021
2020-05-04,31.4,31.400000000000002,1568824491
2021-12-10,15.26,15.26,1569756414
2022-09-07,14.76,14.76,1570548307
2022-02-11,24.49,24.49,1572249544
2022-03-07,7.59,7.59,1574215051
2021-05-13,6.62,6.619999999999999,1574219952
2021-05-17,8.99,8.99,1575421283
2022-03-29,8.99,8.99,1575421283
2021-08-31,10.43,10.43,1577319729
2018-10-07,18.36,18.36,1580056776
2019-01-03,4.99,4.99,1580626874
2020-05-25,5.79,5.79,1580626874
2022-10-09,7.48,7.48,1581170769
2021-03-25,20.87,20.869999999999997,1583335587
2021-04-06,6.99,5.95,1589258614
2021-12-19,4.08,4.08,158925872X
2022-10-23,3.91,3.91,158925872X
2021-08-21,2.99,2.9899999999999998,1589473876
2022-04-01,2.99,2.9899999999999998,1589473876
2021-08-10,12.79,12.79,1589796535
2022-03-09,12.79,12.79,1589796535
2020-12-29,26.39,26.390000000000004,1589949811
2021-09-22,9.99,9.99,159116785X
2022-05-23,13.49,13.49,1591939615
2022-01-20,10.34,10.0,1594483299
2022-02-17,12.49,12.49,1594489505
2018-09-23,26.55,26.55,1594716218
2020-12-03,11.7,11.7,1594745250
2021-11-22,8.09,8.09,1594745250
2021-12-11,17.79,17.79,1596436581
2018-05-04,34.0,34.0,1597114146
2019-12-20,5.3,5.3,1601063385
2020-02-18,13.25,13.25,1601064527
2022-11-08,11.8,11.8,1601066899
2019-10-15,17.99,17.99,1601259573
